WARNING - METER - No observers have been added to this run
INFO - METER - Running command 'main'
INFO - METER - Started
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
HEREEEE
Load 3303 data from split(s) valid.
Load 3303 data from split(s) valid.

  0%|          | 0/3303 [00:00<?, ?it/s]
Text+: 2.5 | Text-: 2.5 | Image+: 34.5 | Image-: 34.5:   1%|          | 39/3303 [02:42<3:34:49,  3.95s/it]    
Text+: 2.5 | Text-: 2.5 | Image+: 34.5 | Image-: 34.5:   1%|          | 40/3303 [02:43<3:34:00,  3.94s/it]
Text+: 2.44 | Text-: 2.44 | Image+: 36.1 | Image-: 36.1:   1%|          | 40/3303 [02:46<3:34:00,  3.94s/it]
Text+: 2.44 | Text-: 2.44 | Image+: 36.1 | Image-: 36.1:   1%|          | 41/3303 [02:47<3:34:55,  3.95s/it]
Text+: 2.38 | Text-: 2.38 | Image+: 35.24 | Image-: 35.24:   1%|          | 41/3303 [02:50<3:34:55,  3.95s/it]
Text+: 2.38 | Text-: 2.38 | Image+: 35.24 | Image-: 35.24:   1%|▏         | 42/3303 [02:51<3:34:52,  3.95s/it]
Text+: 2.33 | Text-: 2.33 | Image+: 34.42 | Image-: 34.42:   1%|▏         | 42/3303 [02:54<3:34:52,  3.95s/it]
Text+: 2.33 | Text-: 2.33 | Image+: 34.42 | Image-: 34.42:   1%|▏         | 43/3303 [02:55<3:34:23,  3.95s/it]
Text+: 2.95 | Text-: 2.95 | Image+: 33.64 | Image-: 33.64:   1%|▏         | 43/3303 [02:58<3:34:23,  3.95s/it]
Text+: 2.95 | Text-: 2.95 | Image+: 33.64 | Image-: 33.64:   1%|▏         | 44/3303 [02:58<3:34:09,  3.94s/it]
Text+: 3.56 | Text-: 3.56 | Image+: 32.89 | Image-: 32.89:   1%|▏         | 44/3303 [03:02<3:34:09,  3.94s/it]
Text+: 3.56 | Text-: 3.56 | Image+: 32.89 | Image-: 32.89:   1%|▏         | 45/3303 [03:03<3:35:59,  3.98s/it]
Text+: 5.65 | Text-: 5.65 | Image+: 32.17 | Image-: 32.17:   1%|▏         | 45/3303 [03:06<3:35:59,  3.98s/it]
Text+: 5.65 | Text-: 5.65 | Image+: 32.17 | Image-: 32.17:   1%|▏         | 46/3303 [03:06<3:34:00,  3.94s/it]
Text+: 5.53 | Text-: 5.53 | Image+: 31.49 | Image-: 31.49:   1%|▏         | 46/3303 [03:10<3:34:00,  3.94s/it]
Text+: 5.53 | Text-: 5.53 | Image+: 31.49 | Image-: 31.49:   1%|▏         | 47/3303 [03:10<3:31:40,  3.90s/it]
Text+: 5.42 | Text-: 5.42 | Image+: 30.83 | Image-: 30.83:   1%|▏         | 47/3303 [03:14<3:31:40,  3.90s/it]
Text+: 5.42 | Text-: 5.42 | Image+: 30.83 | Image-: 30.83:   1%|▏         | 48/3303 [03:14<3:31:55,  3.91s/it]
Text+: 5.31 | Text-: 5.31 | Image+: 32.24 | Image-: 32.24:   1%|▏         | 48/3303 [03:18<3:31:55,  3.91s/it]
Text+: 5.31 | Text-: 5.31 | Image+: 32.24 | Image-: 32.24:   1%|▏         | 49/3303 [03:18<3:32:13,  3.91s/it]
Text+: 5.2 | Text-: 5.2 | Image+: 31.6 | Image-: 31.6:   1%|▏         | 49/3303 [03:22<3:32:13,  3.91s/it]    
Text+: 5.2 | Text-: 5.2 | Image+: 31.6 | Image-: 31.6:   2%|▏         | 50/3303 [03:22<3:34:30,  3.96s/it]
Text+: 5.1 | Text-: 5.1 | Image+: 30.98 | Image-: 30.98:   2%|▏         | 50/3303 [03:26<3:34:30,  3.96s/it]
Text+: 5.1 | Text-: 5.1 | Image+: 30.98 | Image-: 30.98:   2%|▏         | 51/3303 [03:26<3:34:26,  3.96s/it]
Text+: 5.0 | Text-: 5.0 | Image+: 30.38 | Image-: 30.38:   2%|▏         | 51/3303 [03:29<3:34:26,  3.96s/it]
Text+: 5.0 | Text-: 5.0 | Image+: 30.38 | Image-: 30.38:   2%|▏         | 52/3303 [03:30<3:32:56,  3.93s/it]
Text+: 4.91 | Text-: 4.91 | Image+: 31.7 | Image-: 31.7:   2%|▏         | 52/3303 [03:33<3:32:56,  3.93s/it]
Text+: 4.91 | Text-: 4.91 | Image+: 31.7 | Image-: 31.7:   2%|▏         | 53/3303 [03:34<3:33:06,  3.93s/it]
Text+: 4.81 | Text-: 4.81 | Image+: 31.11 | Image-: 31.11:   2%|▏         | 53/3303 [03:37<3:33:06,  3.93s/it]
Text+: 4.81 | Text-: 4.81 | Image+: 31.11 | Image-: 31.11:   2%|▏         | 54/3303 [03:38<3:31:09,  3.90s/it]
Text+: 4.73 | Text-: 4.73 | Image+: 32.36 | Image-: 32.36:   2%|▏         | 54/3303 [03:41<3:31:09,  3.90s/it]
Text+: 4.73 | Text-: 4.73 | Image+: 32.36 | Image-: 32.36:   2%|▏         | 55/3303 [03:42<3:31:02,  3.90s/it]
Text+: 4.64 | Text-: 4.64 | Image+: 31.79 | Image-: 31.79:   2%|▏         | 55/3303 [03:45<3:31:02,  3.90s/it]
Text+: 4.64 | Text-: 4.64 | Image+: 31.79 | Image-: 31.79:   2%|▏         | 56/3303 [03:46<3:31:50,  3.91s/it]
Text+: 4.56 | Text-: 4.56 | Image+: 32.98 | Image-: 32.98:   2%|▏         | 56/3303 [03:49<3:31:50,  3.91s/it]
Text+: 4.56 | Text-: 4.56 | Image+: 32.98 | Image-: 32.98:   2%|▏         | 57/3303 [03:49<3:32:12,  3.92s/it]
Text+: 4.48 | Text-: 4.48 | Image+: 32.41 | Image-: 32.41:   2%|▏         | 57/3303 [03:53<3:32:12,  3.92s/it]
Text+: 4.48 | Text-: 4.48 | Image+: 32.41 | Image-: 32.41:   2%|▏         | 58/3303 [03:54<3:35:36,  3.99s/it]
Text+: 4.41 | Text-: 4.41 | Image+: 33.56 | Image-: 33.56:   2%|▏         | 58/3303 [03:57<3:35:36,  3.99s/it]
Text+: 4.41 | Text-: 4.41 | Image+: 33.56 | Image-: 33.56:   2%|▏         | 59/3303 [03:58<3:35:37,  3.99s/it]
Text+: 4.33 | Text-: 4.33 | Image+: 34.67 | Image-: 34.67:   2%|▏         | 59/3303 [04:01<3:35:37,  3.99s/it]
Text+: 4.33 | Text-: 4.33 | Image+: 34.67 | Image-: 34.67:   2%|▏         | 60/3303 [04:02<3:34:28,  3.97s/it]
Text+: 4.26 | Text-: 4.26 | Image+: 35.74 | Image-: 35.74:   2%|▏         | 60/3303 [04:05<3:34:28,  3.97s/it]
Text+: 4.26 | Text-: 4.26 | Image+: 35.74 | Image-: 35.74:   2%|▏         | 61/3303 [04:05<3:33:07,  3.94s/it]
Text+: 4.19 | Text-: 4.19 | Image+: 35.16 | Image-: 35.16:   2%|▏         | 61/3303 [04:09<3:33:07,  3.94s/it]
Text+: 4.19 | Text-: 4.19 | Image+: 35.16 | Image-: 35.16:   2%|▏         | 62/3303 [04:09<3:34:31,  3.97s/it]
Text+: 4.13 | Text-: 4.13 | Image+: 36.03 | Image-: 36.03:   2%|▏         | 62/3303 [04:13<3:34:31,  3.97s/it]
Text+: 4.13 | Text-: 4.13 | Image+: 36.03 | Image-: 36.03:   2%|▏         | 63/3303 [04:13<3:35:23,  3.99s/it]
Text+: 4.06 | Text-: 4.06 | Image+: 35.47 | Image-: 35.47:   2%|▏         | 63/3303 [04:17<3:35:23,  3.99s/it]
Text+: 4.06 | Text-: 4.06 | Image+: 35.47 | Image-: 35.47:   2%|▏         | 64/3303 [04:17<3:33:32,  3.96s/it]
Text+: 4.0 | Text-: 4.0 | Image+: 34.92 | Image-: 34.92:   2%|▏         | 64/3303 [04:21<3:33:32,  3.96s/it]  
Text+: 4.0 | Text-: 4.0 | Image+: 34.92 | Image-: 34.92:   2%|▏         | 65/3303 [04:21<3:31:21,  3.92s/it]
Text+: 3.94 | Text-: 3.94 | Image+: 34.39 | Image-: 34.39:   2%|▏         | 65/3303 [04:25<3:31:21,  3.92s/it]
Text+: 3.94 | Text-: 3.94 | Image+: 34.39 | Image-: 34.39:   2%|▏         | 66/3303 [04:25<3:31:01,  3.91s/it]
Text+: 3.88 | Text-: 3.88 | Image+: 33.88 | Image-: 33.88:   2%|▏         | 66/3303 [04:29<3:31:01,  3.91s/it]
Text+: 3.88 | Text-: 3.88 | Image+: 33.88 | Image-: 33.88:   2%|▏         | 67/3303 [04:29<3:31:18,  3.92s/it]
Text+: 3.82 | Text-: 3.82 | Image+: 33.38 | Image-: 33.38:   2%|▏         | 67/3303 [04:33<3:31:18,  3.92s/it]
Text+: 3.82 | Text-: 3.82 | Image+: 33.38 | Image-: 33.38:   2%|▏         | 68/3303 [04:33<3:30:40,  3.91s/it]
Text+: 3.77 | Text-: 3.77 | Image+: 32.9 | Image-: 32.9:   2%|▏         | 68/3303 [04:36<3:30:40,  3.91s/it]  
Text+: 3.77 | Text-: 3.77 | Image+: 32.9 | Image-: 32.9:   2%|▏         | 69/3303 [04:37<3:32:16,  3.94s/it]
