WARNING - METER - No observers have been added to this run
INFO - METER - Running command 'main'
INFO - METER - Started
/home/scis_user/.conda/envs/ExAi/lib/python3.10/site-packages/huggingface_hub/file_download.py:1142: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
Some weights of RobertaModel were not initialized from the model checkpoint at roberta-base and are newly initialized: ['roberta.pooler.dense.weight', 'roberta.pooler.dense.bias']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
HEREEEE
Load 3303 data from split(s) valid.
Load 3303 data from split(s) valid.

  0%|          | 0/3303 [00:00<?, ?it/s]/home/scis_user/.conda/envs/ExAi/lib/python3.10/site-packages/transformers/modeling_utils.py:881: FutureWarning: The `device` argument is deprecated and will be removed in v5 of Transformers.
  warnings.warn(

Text+: 4.64 | Text-: 4.64 | Image+: 31.79 | Image-: 31.79:   2%|▏         | 56/3303 [01:15<1:10:08,  1.30s/it]
Text+: 4.56 | Text-: 4.56 | Image+: 32.98 | Image-: 32.98:   2%|▏         | 56/3303 [01:16<1:10:08,  1.30s/it]
Text+: 4.56 | Text-: 4.56 | Image+: 32.98 | Image-: 32.98:   2%|▏         | 57/3303 [01:16<1:09:56,  1.29s/it]
Text+: 4.48 | Text-: 4.48 | Image+: 32.41 | Image-: 32.41:   2%|▏         | 57/3303 [01:17<1:09:56,  1.29s/it]
Text+: 4.48 | Text-: 4.48 | Image+: 32.41 | Image-: 32.41:   2%|▏         | 58/3303 [01:18<1:09:49,  1.29s/it]
Text+: 4.41 | Text-: 4.41 | Image+: 33.56 | Image-: 33.56:   2%|▏         | 58/3303 [01:19<1:09:49,  1.29s/it]
Text+: 4.41 | Text-: 4.41 | Image+: 33.56 | Image-: 33.56:   2%|▏         | 59/3303 [01:19<1:09:43,  1.29s/it]
Text+: 4.33 | Text-: 4.33 | Image+: 34.67 | Image-: 34.67:   2%|▏         | 59/3303 [01:20<1:09:43,  1.29s/it]
Text+: 4.33 | Text-: 4.33 | Image+: 34.67 | Image-: 34.67:   2%|▏         | 60/3303 [01:21<1:15:29,  1.40s/it]
Text+: 4.26 | Text-: 4.26 | Image+: 35.74 | Image-: 35.74:   2%|▏         | 60/3303 [01:22<1:15:29,  1.40s/it]
Text+: 4.26 | Text-: 4.26 | Image+: 35.74 | Image-: 35.74:   2%|▏         | 61/3303 [01:22<1:22:50,  1.53s/it]
Text+: 4.19 | Text-: 4.19 | Image+: 35.16 | Image-: 35.16:   2%|▏         | 61/3303 [01:24<1:22:50,  1.53s/it]
Text+: 4.19 | Text-: 4.19 | Image+: 35.16 | Image-: 35.16:   2%|▏         | 62/3303 [01:24<1:20:30,  1.49s/it]
Text+: 4.13 | Text-: 4.13 | Image+: 36.03 | Image-: 36.03:   2%|▏         | 62/3303 [01:25<1:20:30,  1.49s/it]
Text+: 4.13 | Text-: 4.13 | Image+: 36.03 | Image-: 36.03:   2%|▏         | 63/3303 [01:25<1:21:52,  1.52s/it]
Text+: 4.06 | Text-: 4.06 | Image+: 35.47 | Image-: 35.47:   2%|▏         | 63/3303 [01:27<1:21:52,  1.52s/it]
Text+: 4.06 | Text-: 4.06 | Image+: 35.47 | Image-: 35.47:   2%|▏         | 64/3303 [01:27<1:18:05,  1.45s/it]
Text+: 4.0 | Text-: 4.0 | Image+: 34.92 | Image-: 34.92:   2%|▏         | 64/3303 [01:28<1:18:05,  1.45s/it]  
Text+: 4.0 | Text-: 4.0 | Image+: 34.92 | Image-: 34.92:   2%|▏         | 65/3303 [01:28<1:15:26,  1.40s/it]
Text+: 3.94 | Text-: 3.94 | Image+: 34.39 | Image-: 34.39:   2%|▏         | 65/3303 [01:29<1:15:26,  1.40s/it]
Text+: 3.94 | Text-: 3.94 | Image+: 34.39 | Image-: 34.39:   2%|▏         | 66/3303 [01:29<1:13:34,  1.36s/it]
Text+: 3.88 | Text-: 3.88 | Image+: 33.88 | Image-: 33.88:   2%|▏         | 66/3303 [01:30<1:13:34,  1.36s/it]
Text+: 3.88 | Text-: 3.88 | Image+: 33.88 | Image-: 33.88:   2%|▏         | 67/3303 [01:31<1:12:14,  1.34s/it]
Text+: 3.82 | Text-: 3.82 | Image+: 33.38 | Image-: 33.38:   2%|▏         | 67/3303 [01:32<1:12:14,  1.34s/it]
Text+: 3.82 | Text-: 3.82 | Image+: 33.38 | Image-: 33.38:   2%|▏         | 68/3303 [01:32<1:11:18,  1.32s/it]
Text+: 3.77 | Text-: 3.77 | Image+: 32.9 | Image-: 32.9:   2%|▏         | 68/3303 [01:33<1:11:18,  1.32s/it]  
Text+: 3.77 | Text-: 3.77 | Image+: 32.9 | Image-: 32.9:   2%|▏         | 69/3303 [01:33<1:10:40,  1.31s/it]
